Domstol,Målnummer,År,Brott,FUP,Dom,Påföljd,Notat,Flashbacktråd
Alingsås TR,B 742-23,2023,"Skadegörelse, försök till mord, mordbrand, synnerligen grovt vapenbrott",Ja,,,"Automatvapen i skogen, Alingsås"
Alingsås TR,B 1065-19,2019,"Mord, brott mot griftefrid, narkotikastrafflagen framställan och innehav",Ja,
Alingsås TR,B 1233-15,2015,"Mord",Ja,
Alingsås TR,B 1491-22,2022,"Försök till mord, grovt vapenbrott, grovt skyddande av brottsling",Ja,
Alingsås TR,B 1859-23,2023,"Grovt gravfridsbrott, mord",Ja,
Attunda TR,B 96-23,2023,"Narkotikabrott, grovt narkotikabrott, medhjälp till grovt narkotikabrott, grovt vapenbrott, ",Ja,"TR",Fängelse,"Fem tilltalade"
Attunda TR,B 126-19,2019,"Olovlig körning, rattfylleri, narkotikabrott, ringa narkotikabrott, grovt vapenbrott",Ja,"TR",Fängelse,"Två tilltalade"
Attunda TR,B 185-22,2022,"Försök till mord, ringa narkotikabrott, grovt vapenbrott",Ja,"TR",Fängelse,"Fyra tilltalade"
Attunda TR,B 295-23,2023,"Grovt vapenbrott",Ja,,,,
Attunda TR,B 367-21,2021,"Mord",Ja,
Attunda TR,B 664-23,2023,"Kränkande fotografering, mord",Ja,,,"Maskad FUP"
Attunda TR,B 901-23,2023,"Narkotikasmuggling, grov narkotikasmuggling",Ja,,,"FUP av Tullverket"
Attunda TR,B 1059-22,2022,"Grovt narkotikabrott, ringa narkotikabrott, narkotikabrott, misshandel, vapenlagen, olovlig körning,",Ja,TR,Fängelse,"Fyra tilltalade"
Attunda TR,B 1097-23,2023,"Allmänfarlig ödeläggelse, grovt olaga hot, grovt vapenbrott",Ja,TR,Fängelse
Attunda TR,B 1407-17,2017,"Grov förskingring, bokföringsbrott, försvårande av skattekontroll, brott mot griftefriden, mord",Ja,
Attunda TR,B 1470-16,2016,"Ringa narkotikabrott, medhjälp till brott mot griftefrid, olovlig körning, rattfylleri, ringa vapenbrott",Ja,TR,Fängelse,"Två tilltalade"
Attunda TR,B 1526-10,2010,"Mord",Ja,TR,"Rättspsykiatrisk vård med särskild utskrivningsprövning"
"Attunda TR, Svea hovrätt",B 1652-20,2020,"Mord, vapenlagen, narkotikainnehav, grovt rån",Ja,"Svea hovrätt",
Attunda TR,B 1683-23,2023,"Dråp, grovt gravfridsbrott",Ja,Tingsrätt,"Fängelse, utvisning","Tysk medborgare"
